symbol,ldcp,open,high,low,close,change,percent_change,volume,market_cap,company,sector,downloaded_at_utc,market_state,market_state_at_karachi
KOHC,89.99,90.03,91.49,88.19,90.27,0.28,0.31114568285365046,287766.0,82985796400.95,Kohat Cement Company Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
KTML,42.13,42.1,42.15,41.25,41.93,-0.2,-0.4747211013529551,37022.0,56458630950.4,Kohinoor Textile Mills Limited,TEXTILE COMPOSITE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
LCI,209.01999999999998,210.0,210.0,208.0,208.92,-0.1,-0.04784231174050331,18555.0,96478263630.0,Lucky Core Industries Limited,CHEMICAL,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
LOTCHEM,25.080000000000002,25.08,26.1,24.65,25.51,0.43,1.7145135566188197,6116338.0,38627425672.0,Lotte Chemical Pakistan Limited,CHEMICAL,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
LUCK,415.44,415.0,420.9,410.0,416.62,1.18,0.2840362025803967,765739.0,610348300000.0,Lucky Cement Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MARI,637.43,639.0,642.9,636.9,639.62,2.19,0.34356713678364686,286082.0,767942163450.0,Mari Energies Limited,OIL & GAS EXPLORATION,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MCB,387.99,389.24,392.0,387.2,389.3,1.31,0.33763756797855615,1252178.0,461343860335.8,MCB Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MEBL,551.66,555.0,555.0,545.2,548.12,-3.54,-0.6416995975782185,418869.0,990505705077.76,Meezan Bank Limited,COMMERCIAL BANKS,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MEHT,139.10999999999999,140.46,140.57,138.9,139.39,0.28,0.20127956293580626,13850.0,4181699999.9999995,Mehmood Textile Mills Limited,TEXTILE COMPOSITE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MLCF,93.94,93.75,95.25,93.27,94.72,0.78,0.8303172237598468,3792519.0,99225130229.76,Maple Leaf Cement Factory Limited,CEMENT,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MTL,298.54,298.54,300.0,271.01,297.99,-0.55,-0.18422991893883567,124694.0,118907514093.06,Millat Tractors Limited,AUTO ASSEMBLER,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
MUREB,939.55,925.0,943.98,925.0,938.14,-1.41,-0.15007184290351763,13393.0,25952358786.34,Murree Brewery Company Limited,FOOD & PERSONAL CARE,2026-09-25T16:10:15+00:00,Closed,"Sep 25, 2026 9:06 PM"
